i,j,theta_lo,phi_lo,theta_hi,phi_hi,hs
3,44,0.1884955592153876,5.529203070318037,0.25132741228718347,5.6548667764616285,2578.87622743813
3,45,0.1884955592153876,5.6548667764616285,0.25132741228718347,5.7805304826052195,3439.0436084257713
3,46,0.1884955592153876,5.7805304826052195,0.25132741228718347,5.906194188748811,2605.1812178916093
3,47,0.1884955592153876,5.906194188748811,0.25132741228718347,6.031857894892403,3417.326022488437
3,48,0.1884955592153876,6.031857894892403,0.25132741228718347,6.157521601035995,860.109312576019
3,49,0.1884955592153876,6.157521601035995,0.25132741228718347,6.283185307179586,1420.4114160762997
4,0,0.25132741228718347,0.0,0.3141592653589793,0.12566370614359174,1805.9326019400185
4,1,0.25132741228718347,0.12566370614359174,0.3141592653589793,0.25132741228718347,1353.8024485743692
4,2,0.25132741228718347,0.25132741228718347,0.3141592653589793,0.3769911184307752,2958.8690333935174
4,3,0.25132741228718347,0.3769911184307752,0.3141592653589793,0.5026548245743669,1366.5154876326524
4,4,0.25132741228718347,0.5026548245743669,0.3141592653589793,0.6283185307179586,2490.302736673945
4,5,0.25132741228718347,0.6283185307179586,0.3141592653589793,0.7539822368615504,2025.868177648313
4,6,0.25132741228718347,0.7539822368615504,0.3141592653589793,0.8796459430051422,1600.6624248596702
4,7,0.25132741228718347,0.8796459430051422,0.3141592653589793,1.0053096491487339,3415.90278753879
4,8,0.25132741228718347,1.0053096491487339,0.3141592653589793,1.1309733552923256,2961.411641205174
4,9,0.25132741228718347,1.1309733552923256,0.3141592653589793,1.2566370614359172,2943.6587902345004
4,10,0.25132741228718347,1.2566370614359172,0.3141592653589793,1.3823007675795091,2260.968592804701
4,11,0.25132741228718347,1.3823007675795091,0.3141592653589793,1.5079644737231008,3394.3814285615545
4,12,0.25132741228718347,1.5079644737231008,0.3141592653589793,1.6336281798666925,3414.540676211118
4,13,0.25132741228718347,1.6336281798666925,0.3141592653589793,1.7592918860102844,2520.496204437363
4,14,0.25132741228718347,1.7592918860102844,0.3141592653589793,1.884955592153876,2991.559705257674
4,15,0.25132741228718347,1.884955592153876,0.3141592653589793,2.0106192982974678,2507.8285690900066
4,16,0.25132741228718347,2.0106192982974678,0.3141592653589793,2.1362830044410597,3208.2262137795483
4,17,0.25132741228718347,2.1362830044410597,0.3141592653589793,2.261946710584651,3729.551622591007
4,18,0.25132741228718347,2.261946710584651,0.3141592653589793,2.387610416728243,1844.480352513167
4,19,0.25132741228718347,2.387610416728243,0.3141592653589793,2.5132741228718345,2340.4704906299
4,20,0.25132741228718347,2.5132741228718345,0.3141592653589793,2.6389378290154264,1829.406320486917
4,21,0.25132741228718347,2.6389378290154264,0.3141592653589793,2.7646015351590183,2995.691442951611
4,22,0.25132741228718347,2.7646015351590183,0.3141592653589793,2.8902652413026098,2789.603999074669
4,23,0.25132741228718347,2.8902652413026098,0.3141592653589793,3.0159289474462017,1598.1198170480122
4,24,0.25132741228718347,3.0159289474462017,0.3141592653589793,3.1415926535897936,1355.0737524801957
4,25,0.25132741228718347,3.1415926535897936,0.3141592653589793,3.267256359733385,1368.0592138040179
